,gene,plate,row,column,area.48,mean_intensity.48,corrected_area.48,corrected_mean_intensity.48
100,Sc_CCM 26,0,4,4,41.0,0.0012677912048549578,42.138888888888886,0.0012924862747607044
101,Filler,0,4,5,78.0,0.0009605410683155961,80.16666666666666,0.000979251269757724
102,Sc_CCM 11,0,4,6,77.0,0.001006374398760528,79.13888888888889,0.0010259773791515998
103,Filler,0,4,7,68.0,0.0009764851355639154,69.88888888888889,0.0009955059085368847
104,Sc_CCM 00,0,4,8,101.0,0.0005122536220978771,103.80555555555554,0.0005222317154611499
105,Filler,0,4,9,62.0,0.0009829320466428002,63.722222222222214,0.0010020783978017984
106,Sc_CCM 12,0,4,10,87.0,0.001175602434348324,89.41666666666666,0.001198501776279726
107,Filler,0,4,11,73.0,0.0010160249459938173,75.02777777777777,0.0010358159076058048
108,Sc_CCM 12,0,4,12,89.0,0.0012012614854966532,91.47222222222221,0.0012246606353297006
109,Filler,0,4,13,72.0,0.001018626449584481,74.0,0.001038468085402746
110,Sc_CCM 31,0,4,14,,,,
111,Filler,0,4,15,70.0,0.0009915491225326034,71.94444444444444,0.001010863324115762
112,Sc_CCM 17,0,4,16,54.0,0.0011486969499208454,55.49999999999999,0.0011710722049077724
113,Filler,0,4,17,70.0,0.0009509895388537047,71.94444444444444,0.0009695136878237338
114,Sc_CCM 29,0,4,18,69.0,0.0009354987504153204,70.91666666666666,0.0009537211571884357
115,Filler,0,4,19,73.0,0.0009331086608222397,75.02777777777777,0.0009512845114831529
116,Sc_CCM 32,0,4,20,85.0,0.0012148318253256529,87.3611111111111,0.0012384953092930897
117,Filler,0,4,21,75.0,0.0009662505978614793,77.08333333333333,0.0009850720141714217
118,Sc_CCM 15,0,4,22,101.0,0.0012622813812435008,103.80555555555554,0.0012868691263163159
119,Filler,0,4,23,81.0,0.00102879947916886,83.24999999999999,0.00104883927354492
120,Filler,0,5,0,94.0,0.001035056104635121,74.0,0.0009207539717343673
121,Filler,0,5,1,83.0,0.0009887958980737267,76.29813664596273,0.0009705209762791905
122,Filler,0,5,2,82.0,0.0009763606319529463,83.00232828870779,0.000980940738702989
123,Filler,0,5,3,77.0,0.0009546009983731693,74.0,0.0009616370882001852
124,Filler,0,5,4,78.0,0.0009574397374811209,80.16666666666666,0.0009760895286747276
125,Filler,0,5,5,70.0,0.0009627040951366191,70.0,0.0009627040951366191
126,Filler,0,5,6,72.0,0.0009797039763401554,72.0,0.0009797039763401554
127,Filler,0,5,7,76.0,0.0009986159327972858,76.0,0.0009986159327972858
128,Filler,0,5,8,69.0,0.0009994996406572864,69.0,0.0009994996406572864
129,Filler,0,5,9,66.0,0.0010033769330396057,66.0,0.0010033769330396057
130,Filler,0,5,10,70.0,0.001005212486568732,70.0,0.001005212486568732
