,gene,plate_mean,plate_std,plate_count,mean_intensity.48.A_mean,mean_intensity.48.A_std,mean_intensity.48.A_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,corrected_mean_intensity.48.A_mean,corrected_mean_intensity.48.A_std,corrected_mean_intensity.48.A_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,mean_intensity.24.A_mean,mean_intensity.24.A_std,mean_intensity.24.A_count
3772,YDR370C,2.0,0.0,8,0.0016972123500202398,0.00011873530127927572,5.0,0.0018547013068185001,0.00019605290085488065,5.0,164.75,80.27586365598495,8.0,0.0014186867117215,0.00033033394641513174,8.0,79.875,58.83496895068928,8.0,0.0013923879970152236,4.247629600961743e-05,4.0,0.0013229208889398458,4.931799808822761e-05,5.0,137.02555820577138,34.62084016511888,6.0,0.001559969168177457,0.00031726495374614753,7.0,26.10035939926826,6.607778647905652,7.0,0.0015412187926535249,8.337683323227744e-05,4.0
3773,YDR374C,2.0,0.0,8,0.0019873858245253164,0.00030807965355584475,6.0,0.0019907280747239165,0.00028330051109119465,6.0,192.25,97.27244507787687,8.0,0.0015171739038636167,0.0003561168629934102,6.0,85.375,56.340641256049416,8.0,0.0016209932137355853,0.00033322779887032917,6.0,0.0015574907426378105,0.0003433460985253564,6.0,175.3556943906582,79.4776888144885,8.0,0.0015810588885446883,0.000291602886430355,5.0,33.13516738020745,11.742866845385054,7.0,0.00173465354756385,8.542229669006514e-05,4.0
3774,YDR387C,2.0,0.0,8,0.0015351549568737625,0.00011981480931829333,8.0,0.0014510707103993375,0.00018512910095408786,8.0,137.25,16.66261855600305,8.0,0.0014381203865532373,6.792019469887284e-05,8.0,71.0,44.43293501768383,8.0,0.0013895857496444256,5.794965078409161e-05,7.0,0.0013371036382231734,5.0252838655739004e-05,7.0,149.42205870292315,7.4169196061924,8.0,0.0016303562762725306,4.934175176748536e-05,7.0,28.05681202994436,1.5367068166742572,8.0,0.001443323873923675,6.405409092127926e-05,4.0
3775,YDR391C,2.0,0.0,8,0.00169066181088695,0.00013420017210712926,8.0,0.0014986663162216125,0.00020056502156334252,8.0,171.125,16.444169613748027,8.0,0.001391219193599175,0.00033337406400557926,8.0,78.625,49.77933449592454,8.0,0.0014461739929579201,1.2017395942920249e-05,6.0,0.0013917174706997938,1.5562793246803392e-05,6.0,191.91197189788474,16.08117545353844,7.0,0.0016397199331217298,0.00039919133697465176,8.0,34.20744375617628,3.0683103395792166,8.0,0.001743219187422475,8.15294012165805e-05,4.0
3776,YDR401W,2.0,0.0,8,0.001447343002375825,0.00014788878033401498,8.0,0.0014444326421161,0.00022671190438898424,8.0,134.375,23.317298912426125,8.0,0.0014131641948537752,0.00015534868356461423,8.0,71.625,41.30007782766794,8.0,0.0013703204207317023,4.7152525514426244e-05,8.0,0.0013135220162079034,3.983812092249372e-05,8.0,170.5341666927533,13.209384899575662,8.0,0.0016781328926203539,6.450741245202936e-05,7.0,33.06786267108304,3.7902454122348685,8.0,0.00141987894058775,2.399082595209946e-05,4.0
3777,YDR415C,2.0,0.0,8,0.0013032637789689124,0.00010110259746132134,8.0,0.001383354152620075,0.0002021694065729935,8.0,117.625,26.103844818066833,8.0,0.001372273556880025,9.614512645359515e-05,8.0,59.25,32.96209944769902,8.0,0.001354538609949168,2.584465400608857e-05,7.0,0.001300869964058871,2.9287924160391306e-05,7.0,142.3647562947278,14.676273279539556,7.0,0.0016116332462419477,6.138446126389128e-05,8.0,26.46116179803212,2.8906838022391774,8.0,0.001229449364546975,3.367708322538565e-05,4.0
3778,YDR417C,12.0,0.0,16,0.0012161361950783214,0.0001858490705195648,14.0,0.0013570001103168571,0.00014669524935249177,14.0,130.07142857142858,53.380296401912595,14.0,0.0013162579186917786,0.0003894449625073426,14.0,57.0,47.41794532095985,14.0,0.001496983042053677,0.00015484614511913471,11.0,0.0014315045426337447,0.00013958369626135633,12.0,157.61464887183547,60.6824331416447,13.0,0.0015671677662812307,0.00044322827955754263,14.0,29.602972196809482,14.449836862885816,13.0,0.0013255936475590599,0.00011195744763777555,5.0
3779,YDR426C,2.0,0.0,8,0.001586351170395075,0.0001937179060804068,8.0,0.0014089125014672874,0.00023297768199598008,8.0,139.125,12.966302479889949,8.0,0.0014314984756471122,2.5546574699098497e-05,8.0,74.5,46.34343843214793,8.0,0.0013668613938366027,4.397788463795312e-05,8.0,0.0013120388674751269,3.9514426119835924e-05,7.0,158.86756957090043,7.034245699167594,7.0,0.0016283546771477518,2.76520235772717e-05,8.0,28.696333509670165,0.7061999224551818,8.0,0.0015785439800938,2.9426765033870705e-05,4.0
3780,YDR431W,2.0,0.0,8,0.0013377743902575376,8.003070042644565e-05,8.0,0.001472359781153925,0.00017047651400374647,8.0,137.75,14.028033158134265,8.0,0.0014179307732868373,6.687862849220283e-05,8.0,75.875,48.08753179656567,8.0,0.0014166463637924193,6.074011802586199e-05,7.0,0.0013576374054238226,6.630727655149682e-05,8.0,159.96634767970582,10.223844458615154,8.0,0.0016250075378821125,5.5260395750640594e-05,8.0,29.57741956812476,2.2144498972492292,8.0,0.0012554841978538748,5.0024584393068755e-05,4.0
3781,YDR433W,2.0,0.0,8,0.0014816318572187248,0.0002642522423123469,8.0,0.001528810094227875,0.00028354218325334513,8.0,123.25,25.228951623085727,8.0,0.001440947053670225,0.00011358654164003064,8.0,66.125,43.092715658880714,8.0,0.0013599206869708484,6.211491658050329e-05,7.0,0.0012978688474869506,6.0239418944516364e-05,7.0,173.8354620266501,19.672642517263455,8.0,0.0016117216298611957,6.759097902784108e-05,7.0,31.836029686507278,4.327123114470062,7.0,0.0013192995222911,8.179329442404373e-05,4.0
